filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_008.smt2.slack.smt2,0.033,1.826,Proofterm: 2.831,191,2022-05-08 12:06:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_008.smt2.slack.smt2,0.031,1.739,Proofterm: 2.648,174,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_03_006.smt2.slack.smt2,0.037,1.794,Proofterm: 2.521,191,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_015.smt2.slack.smt2,0.031,1.878,Proofterm: 2.526,172,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_008.smt2.slack.smt2,0.029,1.413,Proofterm: 2.115,125,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_013.smt2.slack.smt2,0.026,0.677,Proofterm: 1.228,46,2022-05-08 12:06:55
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_002.smt2.slack.smt2,0.030,1.022,Proofterm: 2.283,116,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_004.smt2.slack.smt2,0.030,0.972,Proofterm: 1.842,103,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_001.smt2.slack.smt2,0.030,1.146,Proofterm: 2.407,116,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_004.smt2.slack.smt2,0.028,1.373,Proofterm: 2.394,133,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_001.smt2.slack.smt2,0.030,1.246,Proofterm: 2.088,136,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_005.smt2.slack.smt2,0.029,0.940,Proofterm: 1.992,103,2022-05-08 12:06:56
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_012.smt2.slack.smt2,0.029,1.765,Proofterm: 2.268,136,2022-05-08 12:06:57
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_009.smt2.slack.smt2,0.030,0.941,Proofterm: 1.552,75,2022-05-08 12:06:55
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_001.smt2.slack.smt2,0.030,0.849,Proofterm: 1.522,75,2022-05-08 12:06:55
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_01_001.smt2.slack.smt2,0.027,0.639,Proofterm: 0.421,27,2022-05-08 12:06:54
