filename,Solve,Parse,ProofTerm,Steps
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_01_015.smt2.slack.smt2,0.088,1.208,Proofterm: 1.641,172,2022-05-08 12:33:00
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_008.smt2.slack.smt2,0.081,0.852,Proofterm: 0.928,125,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_013.smt2.slack.smt2,0.087,0.873,Proofterm: 0.215,46,2022-05-08 12:32:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_002.smt2.slack.smt2,0.077,1.052,Proofterm: 0.756,116,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_004.smt2.slack.smt2,0.082,1.045,Proofterm: 0.558,103,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_001.smt2.slack.smt2,0.087,0.944,Proofterm: 0.791,116,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_004.smt2.slack.smt2,0.094,1.033,Proofterm: 0.905,133,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_03_001.smt2.slack.smt2,0.089,0.935,Proofterm: 1.017,136,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_02_005.smt2.slack.smt2,0.080,0.985,Proofterm: 0.440,103,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/15-vars/cut_lemma_01_012.smt2.slack.smt2,0.087,0.748,Proofterm: 0.851,136,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_009.smt2.slack.smt2,0.081,0.970,Proofterm: 0.291,75,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_001.smt2.slack.smt2,0.096,0.921,Proofterm: 0.560,75,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_01_001.smt2.slack.smt2,0.088,0.897,Proofterm: 0.086,27,2022-05-08 12:32:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_010.smt2.slack.smt2,0.083,0.915,Proofterm: 0.187,41,2022-05-08 12:32:58
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_005.smt2.slack.smt2,0.087,1.042,Proofterm: 0.262,68,2022-05-08 12:32:59
../smt-lib/QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_003.smt2.slack.smt2,0.074,0.981,Proofterm: 0.131,41,2022-05-08 12:32:58
../smt-lib/QF_LIA/fft/Sz64_1159.smt2,0.176,3.759,Proofterm: 150.060,2754,2022-05-08 12:35:31
../smt-lib/QF_LIA/fft/Sz32_455.smt2,0.454,11.301,Error: ../smt-lib/QF_LIA/fft/Sz32_455.smt2 Timeout 313.60877224605065,6239,2022-05-08 12:38:23
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_4.msat.smt2,0.117,4.710,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_4.msat.smt2 currently lia_generic is not supported 7.340297486982308,2285,2022-05-08 12:33:09
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_6.msat.smt2,1.297,46.215,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_6.msat.smt2 currently lia_generic is not supported 11.32777117297519,22686,2022-05-08 12:33:56
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_8.msat.smt2,63.500,PARSING ERROR (HolPy) Timeout,,,2022-05-08 12:35:07
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_5.msat.smt2,0.332,10.756,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_5.msat.smt2 currently lia_generic is not supported 24.139094145968556,6562,2022-05-08 12:33:33
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_2.msat.smt2,0.089,1.429,Proofterm: 7.101,571,2022-05-08 12:33:06
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_7.msat.smt2,7.878,PARSING ERROR (HolPy) Timeout,,,2022-05-08 12:34:06
../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_3.msat.smt2,0.088,1.875,Error: ../smt-lib/QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_3.msat.smt2 currently lia_generic is not supported 18.114913451950997,1022,2022-05-08 12:33:17
../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_5.msat.smt2,0.384,12.065,Error: ../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_5.msat.smt2 Timeout 300.00844342191704,5669,2022-05-08 12:38:10
../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_7.msat.smt2,11.080,PARSING ERROR (HolPy) Timeout,,,2022-05-08 12:34:10
../smt-lib/QF_LIA/CIRC/multiplier/MULTIPLIER_4.msat.smt2,0.128,4.222,Proofterm: 160.548,1681,2022-05-08 12:35:42
